,Sample,Host.type,Relative.abundance,vOTU.number
1,A1,Eukaryota,5.079202325,191
2,A1,Bacteria,41.18957047,2162
3,A1,Archaea,0.510052902,22
4,A1,Unknown,53.2211743,2916
5,A9,Eukaryota,10.77488411,185
6,A9,Bacteria,46.11334659,839
7,A9,Archaea,0.29631958,17
8,A9,Unknown,42.81544971,971
9,A2,Eukaryota,5.464893308,202
10,A2,Bacteria,40.47917969,2193
11,A2,Archaea,0.656744545,23
12,A2,Unknown,53.39918246,3014
13,A3,Eukaryota,7.589717638,104
14,A3,Bacteria,45.41998824,901
15,A3,Archaea,0.245240214,9
16,A3,Unknown,46.74505391,1352
17,A4,Eukaryota,5.555130545,116
18,A4,Bacteria,43.24877588,923
19,A4,Archaea,0.16371942,4
20,A4,Unknown,51.03237415,1309
21,A5,Eukaryota,4.417159291,127
22,A5,Bacteria,39.98885927,976
23,A5,Archaea,0.04929927,4
24,A5,Unknown,55.54468217,1447
25,A6,Eukaryota,5.046606918,117
26,A6,Bacteria,42.08335385,930
27,A6,Archaea,0.071958664,4
28,A6,Unknown,52.79808057,1341
29,A7,Eukaryota,4.785723774,117
30,A7,Bacteria,41.38562768,926
31,A7,Archaea,0.063612245,4
32,A7,Unknown,53.7650363,1340
33,A8,Eukaryota,13.13621943,160
34,A8,Bacteria,54.82878323,623
35,A8,Archaea,0.479619576,14
36,A8,Unknown,31.55537776,662
37,B1,Eukaryota,2.876110245,155
38,B1,Bacteria,36.67871486,1885
39,B1,Archaea,0.298347088,14
40,B1,Unknown,60.14682781,2255
41,B10,Eukaryota,1.16136414,34
42,B10,Bacteria,75.80244271,429
43,B10,Archaea,0.013943,1
44,B10,Unknown,23.02225015,532
45,B2,Eukaryota,3.913043877,167
46,B2,Bacteria,44.41442716,1940
47,B2,Archaea,0.571608253,19
48,B2,Unknown,51.10092071,2449
49,B3,Eukaryota,3.908490653,354
50,B3,Bacteria,34.85250733,2582
51,B3,Archaea,0.568679952,79
52,B3,Unknown,60.67032207,5489
53,B4,Eukaryota,6.035264169,143
54,B4,Bacteria,41.62254222,1077
55,B4,Archaea,0.268677394,17
56,B4,Unknown,52.07351622,2091
57,B5,Eukaryota,5.385598215,207
58,B5,Bacteria,37.26929636,1217
59,B5,Archaea,0.072685523,6
60,B5,Unknown,57.27241991,2135
61,B6,Eukaryota,4.651229994,221
62,B6,Bacteria,36.3973214,1290
63,B6,Archaea,0.055971119,6
64,B6,Unknown,58.89547749,2321
65,B7,Eukaryota,4.76742944,211
66,B7,Bacteria,35.54254303,1217
67,B7,Archaea,0.04038019,5
68,B7,Unknown,59.64964734,2216
69,B8,Eukaryota,5.001003485,217
70,B8,Bacteria,35.64562711,1248
71,B8,Archaea,0.051256962,6
72,B8,Unknown,59.30211244,2257
73,B9,Eukaryota,4.497030307,441
74,B9,Bacteria,36.30517208,2404
75,B9,Archaea,0.186228114,51
76,B9,Unknown,59.0115695,5153
77,C1,Eukaryota,2.435211894,51
78,C1,Bacteria,45.52985804,587
79,C1,Archaea,0.036846845,2
80,C1,Unknown,51.99808322,641
81,C3,Eukaryota,2.407596331,185
82,C3,Bacteria,31.44495697,1600
83,C3,Archaea,0.062000987,6
84,C3,Unknown,66.08544571,3062
85,C2,Eukaryota,2.360027098,64
86,C2,Bacteria,38.5507858,827
87,C2,Archaea,0.100306528,3
88,C2,Unknown,58.98888058,1442
