,Sample,Others,Vertebrate virus,percent,Host.type,vOTU.number
1,A1,72888.73385,2258.539915,3.005484833,Vertebrate,126
2,A9,23528.1105,2118.612018,8.260751511,Vertebrate,75
3,A2,69417.30757,2527.237253,3.512757304,Vertebrate,135
4,A3,42290.5044,3056.209287,6.739648893,Vertebrate,78
5,A4,35225.38199,1538.211485,4.184061838,Vertebrate,88
6,A5,38006.32942,1409.784929,3.576671503,Vertebrate,96
7,A6,35377.06033,1490.557989,4.04300049,Vertebrate,89
8,A7,35306.72103,1414.445808,3.851854203,Vertebrate,90
9,A8,20525.37901,2155.154009,9.502219404,Vertebrate,58
10,B1,75369.90562,1816.765646,2.353729751,Vertebrate,111
11,B10,7550.796144,49.79760855,0.655180505,Vertebrate,22
12,B2,65974.55123,2212.549088,3.244820615,Vertebrate,126
13,B3,44805.47742,1364.03841,2.954413503,Vertebrate,247
14,B4,45605.79594,2626.191175,5.444915982,Vertebrate,100
15,B5,28876.43399,1110.882313,3.704507271,Vertebrate,129
16,B6,31895.76362,1110.499566,3.364511638,Vertebrate,140
17,B7,32657.32108,1183.411273,3.49700255,Vertebrate,130
18,B8,31337.28632,1176.744341,3.619189369,Vertebrate,138
19,B9,36035.04201,1214.524572,3.260506586,Vertebrate,292
20,C1,89811.76507,1302.066541,1.429054753,Vertebrate,38
21,C3,52815.08972,809.1717556,1.50896578,Vertebrate,105
22,C2,65190.93223,948.2391364,1.433702777,Vertebrate,38
