,Sample,Host.type,percent,vOTU.number,group
1,A1,Eukaryota,5.079202325,191,NC
2,A1,Bacteria,41.18957047,2162,NC
3,A1,Archaea,0.510052902,22,NC
4,A1,Unknown,53.2211743,2916,NC
5,A9,Eukaryota,10.77488411,185,NC
6,A9,Bacteria,46.11334659,839,NC
7,A9,Archaea,0.29631958,17,NC
8,A9,Unknown,42.81544971,971,NC
9,A2,Eukaryota,5.464893308,202,NC
10,A2,Bacteria,40.47917969,2193,NC
11,A2,Archaea,0.656744545,23,NC
12,A2,Unknown,53.39918246,3014,NC
13,A3,Eukaryota,7.589717638,104,NC
14,A3,Bacteria,45.41998824,901,NC
15,A3,Archaea,0.245240214,9,NC
16,A3,Unknown,46.74505391,1352,NC
17,A4,Eukaryota,5.555130545,116,NC
18,A4,Bacteria,43.24877588,923,NC
19,A4,Archaea,0.16371942,4,NC
20,A4,Unknown,51.03237415,1309,NC
21,A5,Eukaryota,4.417159291,127,NC
22,A5,Bacteria,39.98885927,976,NC
23,A5,Archaea,0.04929927,4,NC
24,A5,Unknown,55.54468217,1447,NC
25,A6,Eukaryota,5.046606918,117,NC
26,A6,Bacteria,42.08335385,930,NC
27,A6,Archaea,0.071958664,4,NC
28,A6,Unknown,52.79808057,1341,NC
29,A7,Eukaryota,4.785723774,117,NC
30,A7,Bacteria,41.38562768,926,NC
31,A7,Archaea,0.063612245,4,NC
32,A7,Unknown,53.7650363,1340,NC
33,A8,Eukaryota,13.13621943,160,NC
34,A8,Bacteria,54.82878323,623,NC
35,A8,Archaea,0.479619576,14,NC
36,A8,Unknown,31.55537776,662,NC
37,B1,Eukaryota,2.876110245,155,NC
38,B1,Bacteria,36.67871486,1885,NC
39,B1,Archaea,0.298347088,14,NC
40,B1,Unknown,60.14682781,2255,NC
41,B10,Eukaryota,1.16136414,34,NC
42,B10,Bacteria,75.80244271,429,NC
43,B10,Archaea,0.013943,1,NC
44,B10,Unknown,23.02225015,532,NC
45,B2,Eukaryota,3.913043877,167,NC
46,B2,Bacteria,44.41442716,1940,NC
47,B2,Archaea,0.571608253,19,NC
48,B2,Unknown,51.10092071,2449,NC
49,B3,Eukaryota,3.908490653,354,NC
50,B3,Bacteria,34.85250733,2582,NC
51,B3,Archaea,0.568679952,79,NC
52,B3,Unknown,60.67032207,5489,NC
53,B4,Eukaryota,6.035264169,143,NC
54,B4,Bacteria,41.62254222,1077,NC
55,B4,Archaea,0.268677394,17,NC
56,B4,Unknown,52.07351622,2091,NC
57,B5,Eukaryota,5.385598215,207,NC
58,B5,Bacteria,37.26929636,1217,NC
59,B5,Archaea,0.072685523,6,NC
60,B5,Unknown,57.27241991,2135,NC
61,B6,Eukaryota,4.651229994,221,NC
62,B6,Bacteria,36.3973214,1290,NC
63,B6,Archaea,0.055971119,6,NC
64,B6,Unknown,58.89547749,2321,NC
65,B7,Eukaryota,4.76742944,211,NC
66,B7,Bacteria,35.54254303,1217,NC
67,B7,Archaea,0.04038019,5,NC
68,B7,Unknown,59.64964734,2216,NC
69,B8,Eukaryota,5.001003485,217,NC
70,B8,Bacteria,35.64562711,1248,NC
71,B8,Archaea,0.051256962,6,NC
72,B8,Unknown,59.30211244,2257,NC
73,B9,Eukaryota,4.497030307,441,NC
74,B9,Bacteria,36.30517208,2404,NC
75,B9,Archaea,0.186228114,51,NC
76,B9,Unknown,59.0115695,5153,NC
77,C1,Eukaryota,2.435211894,51,NC
78,C1,Bacteria,45.52985804,587,NC
79,C1,Archaea,0.036846845,2,NC
80,C1,Unknown,51.99808322,641,NC
81,C3,Eukaryota,2.407596331,185,NC
82,C3,Bacteria,31.44495697,1600,NC
83,C3,Archaea,0.062000987,6,NC
84,C3,Unknown,66.08544571,3062,NC
85,C2,Eukaryota,2.360027098,64,NC
86,C2,Bacteria,38.5507858,827,NC
87,C2,Archaea,0.100306528,3,NC
88,C2,Unknown,58.98888058,1442,NC
89,A1,Eukaryota,98.24835748,279,VPC
90,A1,Bacteria,0.611882259,485,VPC
91,A1,Archaea,0.003128169,1,VPC
92,A1,Unknown,1.136632088,385,VPC
93,A9,Eukaryota,66.47003389,138,VPC
94,A9,Bacteria,32.92826185,128,VPC
95,A9,Archaea,0.005768682,1,VPC
96,A9,Unknown,0.595935578,243,VPC
97,A2,Eukaryota,91.90424091,293,VPC
98,A2,Bacteria,6.626038204,608,VPC
99,A2,Archaea,0.003709425,1,VPC
100,A2,Unknown,1.466011459,442,VPC
101,A3,Eukaryota,99.5610406,226,VPC
102,A3,Bacteria,0.227965763,149,VPC
103,A3,Archaea,0.002925165,1,VPC
104,A3,Unknown,0.208068472,296,VPC
