,Phylum,Sample,RPKM.value,Group
1,Unclassified,A9,11010.97341,NC
2,Unclassified,A1,40178.43721,NC
3,Unclassified,A2,38571.34679,NC
4,Unclassified,A3,21198.35133,NC
5,Unclassified,A4,18810.05727,NC
6,Unclassified,A5,21944.72237,NC
7,Unclassified,A6,19514.96795,NC
8,Unclassified,A7,19795.61952,NC
9,Unclassified,A8,7237.40738,NC
10,Unclassified,B10,1749.827706,NC
11,Unclassified,B1,46612.87483,NC
12,Unclassified,B2,35220.69629,NC
13,Unclassified,B3,28246.36524,NC
14,Unclassified,B4,25446.9527,NC
15,Unclassified,B5,17264.35517,NC
16,Unclassified,B6,19510.95727,NC
17,Unclassified,B7,20263.28559,NC
18,Unclassified,B8,19367.36206,NC
19,Unclassified,B9,22069.92646,NC
20,Unclassified,C1,47377.44599,NC
21,Unclassified,C3,35523.34618,NC
22,Unclassified,C2,39169.80244,NC
23,Uroviricota,A9,11404.29053,NC
24,Uroviricota,A1,30044.07496,NC
25,Uroviricota,A2,28184.53138,NC
26,Uroviricota,A3,19924.65414,NC
27,Uroviricota,A4,15333.7877,NC
28,Uroviricota,A5,15150.52033,NC
29,Uroviricota,A6,14935.7347,NC
30,Uroviricota,A7,14626.76462,NC
31,Uroviricota,A8,12053.47159,NC
32,Uroviricota,B10,5716.95681,NC
33,Uroviricota,B1,27402.3904,NC
34,Uroviricota,B2,29286.35709,NC
35,Uroviricota,B3,15120.07971,NC
36,Uroviricota,B4,19533.39271,NC
37,Uroviricota,B5,11036.89441,NC
38,Uroviricota,B6,11826.42365,NC
39,Uroviricota,B7,11835.35882,NC
40,Uroviricota,B8,11409.35592,NC
41,Uroviricota,B9,13099.5148,NC
42,Uroviricota,C1,39309.68103,NC
43,Uroviricota,C3,16303.37835,NC
44,Uroviricota,C2,24943.53268,NC
45,Preplasmiviricota,A9,69.85182476,NC
46,Preplasmiviricota,A1,1592.488233,NC
47,Preplasmiviricota,A2,1814.20033,NC
48,Preplasmiviricota,A3,2584.052425,NC
49,Preplasmiviricota,A4,333.5015497,NC
50,Preplasmiviricota,A5,379.6806469,NC
51,Preplasmiviricota,A6,336.8326866,NC
52,Preplasmiviricota,A7,304.2627988,NC
53,Preplasmiviricota,A8,55.7501115,NC
54,Preplasmiviricota,B10,32.86459775,NC
55,Preplasmiviricota,B1,778.5832055,NC
56,Preplasmiviricota,B2,1053.768431,NC
57,Preplasmiviricota,B3,835.0393357,NC
58,Preplasmiviricota,B4,912.9596916,NC
59,Preplasmiviricota,B5,373.9180843,NC
60,Preplasmiviricota,B6,438.924475,NC
61,Preplasmiviricota,B7,549.3618101,NC
62,Preplasmiviricota,B8,500.8382859,NC
63,Preplasmiviricota,B9,503.9361861,NC
64,Preplasmiviricota,C1,738.037517,NC
65,Preplasmiviricota,C3,274.0700717,NC
66,Preplasmiviricota,C2,198.0170401,NC
67,Nucleocytoviricota,A9,2324.690636,NC
