,Family,MAG.number,viralHost.event,Viral.rank,Host.rank,ID
1,Firmicutes,461,1286,4.434482759,1.09338843,1
2,Proteobacteria,395,872,3.694915254,1.15693904,2
3,Bacteroidota,331,1059,4.835616438,1.436582109,3
4,Patescibacteria,253,481,3.879032258,1.066381156,4
5,Chloroflexota,156,235,2.640449438,1.100456621,5
6,Actinobacteriota,153,253,2.908045977,1.147982063,6
7,Planctomycetota,90,191,4.152173913,1.042328042,7
8,Myxococcota,58,95,2.96875,1.064516129,8
9,Verrucomicrobiota,54,76,2.451612903,1.630136986,9
10,Acidobacteriota,50,107,3.962962963,1.183673469,10
11,Desulfobacterota,49,37,1.947368421,1.027777778,11
12,Spirochaetota,27,63,4.846153846,1.096774194,12
13,Bdellovibrionota,24,14,1.555555556,1.285714286,13
14,Nitrospirota,21,109,6.411764706,1.163265306,14
15,Gemmatimonadota,17,72,5.538461538,1.253731343,15
16,Nanoarchaeota,16,16,2.285714286,1.0625,16
17,Halobacteriota,16,10,3.333333333,1.111111111,17
18,Methanobacteriota,15,74,5.692307692,1.333333333,18
19,Cyanobacteria,14,20,2.857142857,1,19
20,Omnitrophota,13,10,3.333333333,1,20
21,Armatimonadota,11,38,4.75,1,21
22,Campylobacterota,10,22,3.666666667,1.769230769,22
23,Synergistota,10,15,3,1.142857143,23
24,Chlamydiota,10,8,1.6,1,24
25,Cloacimonadota,9,18,2.571428571,1.055555556,25
26,Dependentiae,9,3,3,1,26
27,Iainarchaeota,8,62,8.857142857,1.196428571,27
28,Micrarchaeota,8,15,5,1.142857143,28
29,Hydrogenedentota,4,12,4,1,29
30,Thermoproteota,4,7,3.5,1,30
31,Others,53,61,1.613207547,1.073770492,31
