,sample,Shannon.Wiener,Simpson,observed_species,Chao1,pielou,group,Shannon.Wiener.MAG,Simpson.MAG,observed_species.MAG,Chao1.MAG,pielou.MAG
1,A1.m,7.376839422,0.998049504,5291,5291,0.860396983,NC,4.623846975,0.980449325,373,373,0.780847039
2,A9.m,5.790958949,0.975153088,2012,2012,0.761278671,NC,3.83439365,0.959657246,159,159,0.756454156
3,A2.m,7.396442555,0.998323239,5432,5432,0.860045193,NC,4.694801922,0.981612512,442,442,0.77073766
4,A3.m,5.740840464,0.981696222,2366,2366,0.738946189,NC,3.024693476,0.848071269,296,296,0.531546996
5,A4.m,6.704656209,0.995903389,2352,2352,0.863665826,NC,4.665256619,0.977464763,406,406,0.776720332
6,A5.m,6.498915021,0.989808187,2554,2554,0.828370986,NC,4.650702002,0.9741871,438,438,0.764639036
7,A6.m,6.608090198,0.993626681,2392,2392,0.849381463,NC,4.632727915,0.975370526,409,409,0.770360384
8,A7.m,6.557030377,0.992713849,2387,2387,0.843045153,NC,4.590975804,0.973914039,393,393,0.768517262
9,A8.m,5.806600185,0.991833219,1459,1459,0.797007064,NC,3.524738597,0.945813617,140,140,0.713272693
10,B1.m,6.377217508,0.985015347,4309,4309,0.762053788,NC,4.298035121,0.915626035,477,477,0.696882631
11,B10.m,4.080475926,0.850076343,996,996,0.591052333,NC,1.980571787,0.723105211,200,200,0.373811467
12,B2.m,7.372561687,0.997842981,4575,4575,0.874732446,NC,4.594092859,0.927319726,589,589,0.720254923
13,B3.m,7.956102431,0.998573577,8504,8504,0.879293297,NC,4.6190188,0.970198056,390,390,0.774204692
14,B4.m,6.976598013,0.996742552,3328,3328,0.860232914,NC,5.066747663,0.980867881,527,527,0.808454688
15,B5.m,6.98323142,0.996777382,3565,3565,0.85380857,NC,4.987651303,0.978647435,510,510,0.800019685
16,B6.m,6.823932509,0.994965396,3838,3838,0.826872053,NC,4.770936255,0.959836425,506,506,0.766226316
17,B7.m,6.725926094,0.99447571,3649,3649,0.820014042,NC,4.819131943,0.966659898,488,488,0.77849538
18,B8.m,6.871782783,0.995461796,3728,3728,0.835614582,NC,4.974465356,0.977305084,499,499,0.800705095
19,B9.m,7.89193513,0.998721007,8049,8049,0.877534651,NC,5.482850483,0.989514285,654,654,0.845713357
20,C1.m,6.271084668,0.995129081,1281,1281,0.876413325,NC,4.589739767,0.979770068,263,263,0.823692192
21,C3.m,7.755060393,0.998980622,4853,4853,0.913719623,NC,5.45038664,0.987118107,665,665,0.838548495
22,C2.m,7.154644103,0.998106078,2336,2336,0.922442484,NC,5.232511441,0.991721271,325,325,0.904680082
23,A1,2.060729574,0.816430208,1150,1150,0.292405043,VPC,4.623846975,0.980449325,373,373,0.780847039
24,A9,1.231158219,0.678210472,510,510,0.197477881,VPC,3.83439365,0.959657246,159,159,0.756454156
25,A2,2.40532053,0.84407045,1344,1344,0.333914358,VPC,4.694801922,0.981612512,442,442,0.77073766
26,A3,1.683203339,0.803550969,672,672,0.25854632,VPC,3.024693476,0.848071269,296,296,0.531546996
27,A4,1.999556848,0.821798489,1143,1143,0.283971019,VPC,4.665256619,0.977464763,406,406,0.776720332
28,A5,1.72665605,0.80709958,773,773,0.259636631,VPC,4.650702002,0.9741871,438,438,0.764639036
29,A6,1.878360603,0.814980749,887,887,0.276724146,VPC,4.632727915,0.975370526,409,409,0.770360384
30,A7,1.815912671,0.811818635,925,925,0.265881041,VPC,4.590975804,0.973914039,393,393,0.768517262
31,A8,2.95206052,0.886334957,1009,1009,0.426800947,VPC,3.524738597,0.945813617,140,140,0.713272693
32,B1,2.669886542,0.779566358,1965,1965,0.352076934,VPC,4.298035121,0.915626035,477,477,0.696882631
33,B10,3.066702613,0.935604501,412,412,0.509332456,VPC,1.980571787,0.723105211,200,200,0.373811467
34,B2,3.652014401,0.913563926,2743,2743,0.461298877,VPC,4.594092859,0.927319726,589,589,0.720254923
35,B3,4.367098529,0.955093678,3807,3807,0.529692192,VPC,4.6190188,0.970198056,390,390,0.774204692
36,B4,4.650700416,0.968273064,3422,3422,0.571480903,VPC,5.066747663,0.980867881,527,527,0.808454688
37,B5,2.584960884,0.891127194,1543,1543,0.352103326,VPC,4.987651303,0.978647435,510,510,0.800019685
38,B6,3.371002115,0.936004459,2486,2486,0.431160987,VPC,4.770936255,0.959836425,506,506,0.766226316
39,B7,2.343216438,0.851910899,2135,2135,0.305654658,VPC,4.819131943,0.966659898,488,488,0.77849538
40,B8,3.123579681,0.920375676,1671,1671,0.420900817,VPC,4.974465356,0.977305084,499,499,0.800705095
41,B9,2.848783344,0.91032944,1680,1680,0.383594495,VPC,5.482850483,0.989514285,654,654,0.845713357
42,C1,4.150201946,0.94403958,1969,1969,0.547138847,VPC,4.589739767,0.979770068,263,263,0.823692192
43,C3,2.87789904,0.90961342,189,189,0.549034326,VPC,5.45038664,0.987118107,665,665,0.838548495
44,C2,3.804519847,0.934193267,1821,1821,0.506786779,VPC,5.232511441,0.991721271,325,325,0.904680082
