,id,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3
1,A2_spa_contigs_14082: AAC(6')-Ie-APH(2'')-Ia,0.642209656,0.662665931,0.473090713,0,0,0,0,0,0,1.049460423,0.941897703,0,0,0,0,0,0,0,0,0,0,0
2,C1_spa_contigs_16801: AAC(6')-Ie-APH(2'')-Ia,0.634060652,0.627200547,0.485579179,0,0,0,0,0,0,1.21213458,1.049422287,0,0,0,0,0,0,0,0,1.384180235,0,0
3,B10_spa_contigs_4202: ANT(6),2.640987756,2.705501276,2.040699551,0.976762477,1.135072801,0.992003653,0.926785402,0,0,3.001406484,2.908706967,1.265993075,2.248030727,1.220712148,1.134816217,0.898438244,0.98297937,1.207078637,0.871604672,2.374310166,0,1.055169927
4,B2_spa_contigs_29460: ANT(6),1.257709886,1.354759009,0.843805669,0,0,0,0,0,0,1.888905025,1.794913363,0,0.801526599,0,0,0,0,0,0,0,0,0
5,A3_spa_contigs_9419: APH(2'')-If,0.626370325,0.630277066,0.581687797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214991986,0,0
6,B2_spa_contigs_23440: APH(2'')-If,0.984848348,0.805394344,0.650161451,0,0,0,0,0,0,1.56384261,1.413184954,0,0.558315536,0,0,0,0,0,0,1.404088142,0,0
7,B9_spa_contigs_1234: VEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738042161,0.695475267,0.709793987,0.696893446,0.628689256,0,0,0,0.498697978
8,A1_spa_contigs_27532: catD,0.800573847,0.956374527,0,0,0,0,0,0,0,1.06567392,1.113388738,0,0.511805849,0,0,0,0,0,0,1.561107313,0,0
9,B1_spa_contigs_13271: catQ,0,0,0,0,0,0,0,0,0,1.625254116,0,0,0,0,0,0,0,0,0,0,0,0
10,A3_spa_contigs_4164: cfr(C),2.058512738,2.10909431,2.091667626,0.97592497,1.06294724,1.005490159,1.017258237,0,0,2.01117754,1.959030845,0.754303375,1.547865,0.37054462,0,0,0,0.264652689,0,0,0,0
11,B3_spa_contigs_2509_1: cfr(E),0,0,0,0,0,0,0,0,0,0,0.811625691,0.465876967,0,0,0,0,0,0,0,0,0,0
12,A3_spa_contigs_9726: erm(47),2.060801077,2.045400832,0.92943832,0.51230772,0.642659167,0.62806727,0,0,0,2.076644594,1.891935533,0,1.16429571,0,0,0,0,0,0,0,0,0
13,B3_spa_contigs_11791: erm(B),1.757902537,1.8451455,0,0,0,0,0,0,0,2.016461866,1.96890415,0.42119507,1.066508589,0,0,0,0,0,0,2.022307181,0,0
