	contig_id	contig_length	checkv_quality	completeness	contamination	provirus
1	A1_viral_merged_1	33528	Low-quality	33.28	0	No
2	A1_viral_merged_10	10295	High-quality	100	0	No
3	A1_viral_merged_100	5587	Complete	100	0	No
4	A1_viral_merged_101	5586	High-quality	96.75	0	No
5	A1_viral_merged_102	5568	High-quality	95.85	0	No
6	A1_viral_merged_103	5567	High-quality	100	0	No
7	A1_viral_merged_104	5559	Medium-quality	86.9	0	No
8	A1_viral_merged_105	5551	Complete	100	0	No
9	A1_viral_merged_106	5549	High-quality	95.88	0	No
10	A1_viral_merged_107	5534	Complete	100	0	No
11	A1_viral_merged_108	5503	High-quality	100	0	No
12	A1_viral_merged_109	5457	High-quality	99.37	0	No
13	A1_viral_merged_11	10223	Low-quality	14.16	0	No
14	A1_viral_merged_110	5413	High-quality	100	0	No
15	A1_viral_merged_111	5345	High-quality	100	0	No
16	A1_viral_merged_112	5329	Low-quality	12.88	0	No
17	A1_viral_merged_113	5325	High-quality	100	0	No
18	A1_viral_merged_114	5313	High-quality	100	0	No
19	A1_viral_merged_115	5310	High-quality	100	0	No
20	A1_viral_merged_116	5307	High-quality	100	0	No
21	A1_viral_merged_117	5303	Complete	100	0	No
22	A1_viral_merged_118	5302	Complete	100	0	No
23	A1_viral_merged_119	5286	High-quality	100	0	No
24	A1_viral_merged_12	9993	High-quality	100	0	No
25	A1_viral_merged_120	5266	High-quality	100	0	No
26	A1_viral_merged_121	5262	Complete	100	0	No
27	A1_viral_merged_122	5247	High-quality	100	0	No
28	A1_viral_merged_123	5207	High-quality	100	0	No
29	A1_viral_merged_124	5198	High-quality	100	0	No
30	A1_viral_merged_125	5194	Low-quality	4.46	0	No
31	A1_viral_merged_126	5187	High-quality	100	0	No
32	A1_viral_merged_127	5176	Medium-quality	81.26	0	No
33	A1_viral_merged_128	5168	High-quality	100	0	No
34	A1_viral_merged_129	5156	Medium-quality	79.31	0	No
35	A1_viral_merged_13	9701	High-quality	100	0	No
36	A1_viral_merged_130	5134	High-quality	100	0	No
37	A1_viral_merged_131	5133	High-quality	100	0	No
38	A1_viral_merged_133	5122	Medium-quality	87.79	0	No
39	A1_viral_merged_134	5120	Complete	100	0	No
40	A1_viral_merged_135	5116	High-quality	100	0	No
41	A1_viral_merged_136	5109	High-quality	99.28	0	No
42	A1_viral_merged_137	5107	High-quality	100	0	No
43	A1_viral_merged_138	5090	Complete	100	0	No
44	A1_viral_merged_139	5081	Complete	100	0	No
45	A1_viral_merged_14	9368	Low-quality	12.94	0	No
46	A1_viral_merged_140	5064	High-quality	99.37	0	No
47	A1_viral_merged_141	5061	High-quality	99.72	0	No
48	A1_viral_merged_142	5057	Low-quality	13.33	0	No
49	A1_viral_merged_143	5050	Medium-quality	78.92	0	No
50	A1_viral_merged_144	5048	Complete	100	0	No
51	A1_viral_merged_145	5045	Complete	100	0	No
52	A1_viral_merged_146	5033	High-quality	98.82	0	No
53	A1_viral_merged_147	5015	Medium-quality	80.36	0	No
54	A1_viral_merged_148	5014	High-quality	100	0	No
55	A1_viral_merged_149	5013	High-quality	92.48	0	No
56	A1_viral_merged_15	9252	Low-quality	11.93	0	No
57	A1_viral_merged_150	4918	Complete	100	0	No
58	A1_viral_merged_151	4889	Complete	100	0	No
59	A1_viral_merged_152	4876	Complete	100	0	No
60	A1_viral_merged_153	4847	Complete	100	0	No
61	A1_viral_merged_154	4841	Complete	100	0	No
62	A1_viral_merged_155	4827	Complete	100	0	No
63	A1_viral_merged_156	4818	Complete	100	0	No
64	A1_viral_merged_157	4807	Complete	100	0	No
65	A1_viral_merged_158	4804	Complete	100	0	No
66	A1_viral_merged_159	4802	Complete	100	0	No
67	A1_viral_merged_16	9239	High-quality	100	0	No
68	A1_viral_merged_160	4782	Complete	100	0	No
69	A1_viral_merged_161	4762	Complete	100	0	No
70	A1_viral_merged_162	4719	Complete	100	0	No
71	A1_viral_merged_163	4689	Complete	100	0	No
72	A1_viral_merged_164	4676	Complete	100	0	No
73	A1_viral_merged_165	4656	Complete	100	0	No
74	A1_viral_merged_166	4639	Complete	100	0	No
75	A1_viral_merged_167	4582	High-quality	100	0	No
76	A1_viral_merged_168	4576	Complete	100	0	No
77	A1_viral_merged_169	4554	Complete	100	0	No
78	A1_viral_merged_17	8959	High-quality	100	0	No
79	A1_viral_merged_170	4547	Complete	100	0	No
80	A1_viral_merged_171	4514	Complete	100	0	No
81	A1_viral_merged_172	4483	Complete	100	0	No
82	A1_viral_merged_173	4476	Complete	100	0	No
83	A1_viral_merged_174	4468	Complete	100	0	No
84	A1_viral_merged_175	4448	Complete	100	0	No
85	A1_viral_merged_176	4446	Complete	100	0	No
86	A1_viral_merged_177	4442	Complete	100	0	No
87	A1_viral_merged_178	4391	Complete	100	0	No
88	A1_viral_merged_179	4369	Complete	100	0	No
89	A1_viral_merged_18	8728	Low-quality	4.79	0	No
90	A1_viral_merged_180	4354	Complete	100	0	No
91	A1_viral_merged_181	4337	Complete	100	0	No
92	A1_viral_merged_182	4311	Complete	100	0	No
93	A1_viral_merged_183	4280	Complete	100	0	No
94	A1_viral_merged_184	4266	High-quality	100	0	No
95	A1_viral_merged_185	4239	Complete	100	0	No
96	A1_viral_merged_186	4165	Complete	100	0	No
97	A1_viral_merged_188	3488	Complete	100	0	No
98	A1_viral_merged_19	8705	High-quality	100	0	No
99	A1_viral_merged_191	3137	Complete	100	0	No
100	A1_viral_merged_192	3064	Medium-quality	73.63	0	No
