	contig_id	contig_length	checkv_quality	completeness	contamination	provirus
1	A1_spa_contigs_1_1	48531	High-quality	99.64	0	Yes
2	A1_spa_contigs_10	317348	High-quality	100	0	No
3	A1_spa_contigs_10003	10521	Low-quality	3.48	0	No
4	A1_spa_contigs_10006	10519	Low-quality	9.53	0	No
5	A1_spa_contigs_10009	10516	Low-quality	16.63	0	No
6	A1_spa_contigs_10014	10514	Low-quality	9.93	0	No
7	A1_spa_contigs_10016	10512	Low-quality	8.65	0	No
8	A1_spa_contigs_10017	10512	Low-quality	8.95	0	No
9	A1_spa_contigs_10037	10500	Low-quality	34.95	0	No
10	A1_spa_contigs_10061	10481	Low-quality	14.93	0	No
11	A1_spa_contigs_10082	10466	Low-quality	4.82	0	No
12	A1_spa_contigs_10108	10450	Low-quality	31.08	0	No
13	A1_spa_contigs_10110	10448	Low-quality	4.34	0	No
14	A1_spa_contigs_10119	10443	Low-quality	4.3	0	No
15	A1_spa_contigs_10126	10440	Low-quality	24.6	0	No
16	A1_spa_contigs_10130	10439	Low-quality	30.1	0	No
17	A1_spa_contigs_10132	10438	Medium-quality	68.2	0	No
18	A1_spa_contigs_10165	10412	Low-quality	25.61	0	No
19	A1_spa_contigs_10177	10405	Low-quality	5.57	0	No
20	A1_spa_contigs_10178	10404	Low-quality	4.61	0	No
21	A1_spa_contigs_10184	10400	Low-quality	15.02	0	No
22	A1_spa_contigs_10193	10391	Low-quality	7.54	0	No
23	A1_spa_contigs_10225	10369	Low-quality	5.06	0	No
24	A1_spa_contigs_10226	10369	Low-quality	24.71	0	No
25	A1_spa_contigs_10228	10367	Low-quality	8.77	0	No
26	A1_spa_contigs_10235	10360	Low-quality	24.69	0	No
27	A1_spa_contigs_10238	10359	Low-quality	22.23	0	No
28	A1_spa_contigs_10241	10357	Low-quality	23.82	0	No
29	A1_spa_contigs_10243	10353	Low-quality	31.62	0	No
30	A1_spa_contigs_10255	10343	Low-quality	6.18	0	No
31	A1_spa_contigs_10259	10341	Low-quality	20.14	0	No
32	A1_spa_contigs_10265	10339	Low-quality	3.57	0	No
